"mic";"symbol";"isin";"date";"trading_model_id";"open_price";"high_price";"low_price";"last_price";"vwap_price";"change_prev_close_percentage";"num_trades";"volume";"turnover";"price_currency";"turnover_currency"
"XLJU";"PETG";"SI0031102153";"2018-12-28";"CT";308,00;310,00;306,00;310,00;308,97489539749;2,31;25;717,00000;221535,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-12-27";"CT";308,00;311,00;303,00;303,00;306,40691192865;-1,62;36;897,00000;274847,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-12-21";"CT";308,00;309,00;302,00;308,00;304,97368421053;0,00;22;190,00000;57945,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-12-20";"CT";311,00;311,00;305,00;308,00;309,06201044386;-0,65;36;1532,00000;473483,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-12-20";"BLOCK";;308,00;308,00;308,00;308,00000000000;;1;1500,00000;462000,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-12-19";"CT";313,00;315,00;310,00;310,00;312,11676646707;-0,96;24;334,00000;104247,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-12-18";"CT";314,00;316,00;312,00;313,00;313,46109510086;0,32;21;347,00000;108771,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-12-17";"CT";312,00;316,00;312,00;312,00;313,83040935673;-1,27;18;171,00000;53665,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-12-14";"CT";320,00;320,00;313,00;316,00;314,47729789590;0,96;111;903,00000;283973,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-12-13";"CT";316,00;316,00;313,00;313,00;314,48419721871;-0,63;25;791,00000;248757,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-12-12";"CT";318,00;318,00;315,00;315,00;316,79178082192;-1,56;13;365,00000;115629,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-12-11";"CT";319,00;320,00;316,00;320,00;317,11206896552;1,27;10;116,00000;36785,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-12-10";"CT";320,00;325,00;316,00;316,00;318,64772727273;-2,77;29;176,00000;56082,00;"EUR";"EUR"
"XLJU";"PETG";"SI0031102153";"2018-12-07";"CT";321,00;327,00;321,00;325,00;325,94230769231;-0,61;5;52,00000;16949,00;"EUR";"EUR"
